ori,agency_name,city,state,agency_type
NY0595600,Mamaroneck Town Police Department,mamaroneck town,NY,City
NY0595500,Lewisboro Town Police Department,lewisboro town,NY,City
NY0595400,Harrison Town Police Department,harrison town,NY,City
NY0595300,Greenburgh Town Police Department,greenburgh town,NY,City
NY0595200,Eastchester Town Police Department,eastchester town,NY,City
NY0595000,Bedford Town Police Department,bedford town,NY,City
NY0594100,Buchanan Village Police Department,buchanan village,NY,City
NY0593900,Elmsford Village Police Department,elmsford village,NY,City
NY0593700,Pelham Manor Village Police Department,pelham manor village,NY,City
NY0593500,Pelham Village Police Department,pelham village,NY,City
NY0593300,Pleasantville Village Police Department,pleasantville village,NY,City
NY0593200,Sleepy Hollow Village Police Department,sleepy hollow village,NY,City
NY0593100,Briarcliff Manor Village Police Department,briarcliff manor village,NY,City
NY0592900,Larchmont Village Police Department,larchmont village,NY,City
NY0592800,Tarrytown Village Police Department,tarrytown village,NY,City
NY0592700,Irvington Village Police Department,irvington village,NY,City
NY0592600,Hastings-on-Hudson Village Police Department,hastings-on-hudson village,NY,City
NY0592500,Dobbs Ferry Village Police Department,dobbs ferry village,NY,City
NY0592400,Ardsley Village Police Department,ardsley village,NY,City
NY0592300,Tuckahoe Village Police Department,tuckahoe village,NY,City
NY0592200,Bronxville Village Police Department,bronxville village,NY,City
NY0592100,Croton-on-Hudson Village Police Department,croton-on-hudson village,NY,City
NY0591000,Scarsdale Village Police Department,scarsdale village,NY,City
NY0590900,Mamaroneck Village Police Department,mamaroneck village,NY,City
NY0590800,Rye Police Department,rye,NY,City
NY0590700,Yonkers Police Department,yonkers,NY,City
NY0590600,Port Chester Village Police Department,port chester village,NY,City
NY0303000,New York City Police Department,new york city,NY,City
NY0162300,Saranac Lake Village Police Department,saranac lake village,NY,City
NY0212500,Dolgeville Village Police Department,dolgeville village,NY,City
NY0602100,Attica Village Police Department,attica village,NY,City
NY0142600,Gowanda Village Police Department,gowanda village,NY,City
NC0530100,Sanford Police Department,sanford,NC,City
NC0530200,Broadway Police Department,broadway,NC,City
NC0050200,Jefferson Police Department,jefferson,NC,City
NC0050100,West Jefferson Police Department,west jefferson,NC,City
NC0280400,Southern Shores Police Department,southern shores,NC,City
NC0280200,Manteo Police Department,manteo,NC,City
NC0280100,Kill Devil Hills Police Department,kill devil hills,NC,City
NC0280500,Kitty Hawk Police Department,kitty hawk,NC,City
NC0280700,Duck Police Department,duck,NC,City
NC0280300,Nags Head Police Department,nags head,NC,City
NC0470100,Raeford Police Department,raeford,NC,City
NC0640100,Nashville Police Department,nashville,NC,City
NC0640200,Spring Hope Police Department,spring hope,NC,City
NC0640300,Bailey Police Department,bailey,NC,City
NC0640500,Middlesex Police Department,middlesex,NC,City
NC0740100,Ayden Police Department,ayden,NC,City
NC0740800,Winterville Police Department,winterville,NC,City
NC0740300,Greenville Police Department,greenville,NC,City
NC0740200,Farmville Police Department,farmville,NC,City
NC0750100,Tryon Police Department,tryon,NC,City
NC0750300,Columbus Police Department,columbus,NC,City
NC0921700,Holly Springs Police Department,holly springs,NC,City
NC0920400,Fuquay-Varina Police Department,fuquay-varina,NC,City
NC0920500,Garner Police Department,garner,NC,City
NC0920600,Knightdale Police Department,knightdale,NC,City
NC0920800,Wendell Police Department,wendell,NC,City
NC0920900,Zebulon Police Department,zebulon,NC,City
NC0921100,Rolesville Police Department,rolesville,NC,City
NC0040100,Wadesboro Police Department,wadesboro,NC,City
NC0040200,Lilesville Police Department,lilesville,NC,City
NC0040300,Morven Police Department,morven,NC,City
NC0040400,Polkton Police Department,polkton,NC,City
NC0060100,Newland Police Department,newland,NC,City
NC0060400,Elk Park Police Department,elk park,NC,City
NC0060200,Banner Elk Police Department,banner elk,NC,City
NC0060600,Sugar Mountain Police Department,sugar mountain,NC,City
NC0120100,Morganton Police Department,morganton,NC,City
NC0120200,Valdese Police Department,valdese,NC,City
NC0120300,Drexel Police Department,drexel,NC,City
NC0120400,Glen Alpine Police Department,glen alpine,NC,City
NC0520200,Maysville Police Department,maysville,NC,City
NC0570100,Franklin Police Department,franklin,NC,City
NC0630600,Pinebluff Police Department,pinebluff,NC,City
NC0630100,Aberdeen Police Department,aberdeen,NC,City
NC0630200,Pinehurst Police Department,pinehurst,NC,City
NC0630300,Robbins Police Department,robbins,NC,City
NC0630400,Southern Pines Police Department,southern pines,NC,City
NC0630500,Carthage Police Department,carthage,NC,City
NC0630700,Vass Police Department,vass,NC,City
NC0630800,Whispering Pines Police Department,whispering pines,NC,City
NC0630900,Foxfire Village Police Department,foxfire village,NC,City
NC0631100,Taylortown Police Department,taylortown,NC,City
NC0800600,Rockwell Police Department,rockwell,NC,City
NC0800100,China Grove Police Department,china grove,NC,City
NC0800200,East Spencer Police Department,east spencer,NC,City
NC0800300,Landis Police Department,landis,NC,City
NC0800500,Salisbury Police Department,salisbury,NC,City
NC0800700,Spencer Police Department,spencer,NC,City
NC0800800,Granite Quarry Police Department,granite quarry,NC,City
NC0800900,Cleveland Police Department,cleveland,NC,City
NC0860300,Pilot Mountain Police Department,pilot mountain,NC,City
NC0860400,Dobson Police Department,dobson,NC,City
NC0860200,Mount Airy Police Department,mount airy,NC,City
NC0870100,Bryson City Police Department,bryson city,NC,City
NC0900300,Waxhaw Police Department,waxhaw,NC,City
NC0900100,Marshville Police Department,marshville,NC,City
NC0900200,Monroe Police Department,monroe,NC,City
NC0900400,Wingate Police Department,wingate,NC,City
NC0910100,Henderson Police Department,henderson,NC,City
NC0960500,Pikeville Police Department,pikeville,NC,City
NC0960800,Walnut Creek Police Department,walnut creek,NC,City
NC0960300,Fremont Police Department,fremont,NC,City
NC0960100,Goldsboro Police Department,goldsboro,NC,City
NC0080100,Aulander Police Department,aulander,NC,City
NC0080200,Windsor Police Department,windsor,NC,City
NC0080300,Lewiston Woodville Police Department,lewiston woodville,NC,City
NC0090300,Elizabethtown Police Department,elizabethtown,NC,City
NC0090400,White Lake Police Department,white lake,NC,City
NC0090100,Bladenboro Police Department,bladenboro,NC,City
NC0210100,Edenton Police Department,edenton,NC,City
NC0250100,Havelock Police Department,havelock,NC,City
NC0250400,Trent Woods Police Department,trent woods,NC,City
NC0250300,Vanceboro Police Department,vanceboro,NC,City
NC0250200,New Bern Police Department,new bern,NC,City
NC0250600,Bridgeton Police Department,bridgeton,NC,City
NC0250700,River Bend Police Department,river bend,NC,City
NC0310600,Warsaw Police Department,warsaw,NC,City
NC0310500,Rose Hill Police Department,rose hill,NC,City
NC0310400,Kenansville Police Department,kenansville,NC,City
NC0310200,Beulaville Police Department,beulaville,NC,City
NC0310700,Magnolia Police Department,magnolia,NC,City
NC0310100,Wallace Police Department,wallace,NC,City
NC0360900,Mount Holly Police Department,mount holly,NC,City
NC0360800,Lowell Police Department,lowell,NC,City
NC0360700,Stanley Police Department,stanley,NC,City
NC0360600,Gastonia Police Department,gastonia,NC,City
NC0360400,Dallas Police Department,dallas,NC,City
NC0360300,Cherryville Police Department,cherryville,NC,City
NC0360200,Bessemer City Police Department,bessemer city,NC,City
NC0360100,Belmont Police Department,belmont,NC,City
NC0361200,Ranlo Police Department,ranlo,NC,City
NC0361100,Cramerton Police Department,cramerton,NC,City
NC0400200,Snow Hill Police Department,snow hill,NC,City
NC0540300,Pink Hill Police Department,pink hill,NC,City
NC0540100,Kinston Police Department,kinston,NC,City
NC0590600,Robersonville Police Department,robersonville,NC,City
NC0590100,Williamston Police Department,williamston,NC,City
NC0670800,North Topsail Beach Police Department,north topsail beach,NC,City
NC0670200,Holly Ridge Police Department,holly ridge,NC,City
NC0670300,Richlands Police Department,richlands,NC,City
NC0670400,Swansboro Police Department,swansboro,NC,City
NC0670100,Jacksonville Police Department,jacksonville,NC,City
NC0680300,Carrboro Police Department,carrboro,NC,City
NC0680200,Hillsborough Police Department,hillsborough,NC,City
NC0710100,Burgaw Police Department,burgaw,NC,City
NC0710200,Topsail Beach Police Department,topsail beach,NC,City
NC0730100,Roxboro Police Department,roxboro,NC,City
NC0840200,Norwood Police Department,norwood,NC,City
NC0840100,Albemarle Police Department,albemarle,NC,City
NC0840300,Oakboro Police Department,oakboro,NC,City
NC0840400,Stanfield Police Department,stanfield,NC,City
NC0840700,Badin Police Department,badin,NC,City
NC0840800,Misenheimer Police Department,misenheimer,NC,City
NC0930100,Norlina Police Department,norlina,NC,City
NC0930200,Warrenton Police Department,warrenton,NC,City
NC0970200,Wilkesboro Police Department,wilkesboro,NC,City
NC0970100,North Wilkesboro Police Department,north wilkesboro,NC,City
NC0980100,Wilson Police Department,wilson,NC,City
NC0980200,Black Creek Police Department,black creek,NC,City
NC0990300,Boonville Police Department,boonville,NC,City
NC0990400,East Bend Police Department,east bend,NC,City
NC0990200,Yadkinville Police Department,yadkinville,NC,City
NC0990100,Jonesville Police Department,jonesville,NC,City
NC1000100,Burnsville Police Department,burnsville,NC,City
NC0180100,Conover Police Department,conover,NC,City
NC0180800,Catawba Police Department,catawba,NC,City
NC0180500,Brookford Police Department,brookford,NC,City
NC0180600,Claremont Police Department,claremont,NC,City
NC0180400,Newton Police Department,newton,NC,City
NC0190200,Pittsboro Police Department,pittsboro,NC,City
NC0190100,Siler City Police Department,siler city,NC,City
NC0340200,Winston-Salem Police Department,winston-salem,NC,City
NC0420100,Enfield Police Department,enfield,NC,City
NC0420200,Roanoke Rapids Police Department,roanoke rapids,NC,City
NC0420700,Weldon Police Department,weldon,NC,City
NC0420300,Scotland Neck Police Department,scotland neck,NC,City
NC0420600,Littleton Police Department,littleton,NC,City
NC0430100,Dunn Police Department,dunn,NC,City
NC0430300,Coats Police Department,coats,NC,City
NC0430400,Lillington Police Department,lillington,NC,City
NC0430500,Erwin Police Department,erwin,NC,City
NC0440500,Maggie Valley Police Department,maggie valley,NC,City
NC0440200,Waynesville Police Department,waynesville,NC,City
NC0440100,Canton Police Department,canton,NC,City
NC0490100,Mooresville Police Department,mooresville,NC,City
NC0490400,Troutman Police Department,troutman,NC,City
NC0490200,Statesville Police Department,statesville,NC,City
NC0500100,Sylva Police Department,sylva,NC,City
NC0550100,Lincolnton Police Department,lincolnton,NC,City
NC0580100,Marshall Police Department,marshall,NC,City
NC0580200,Hot Springs Police Department,hot springs,NC,City
NC0580300,Mars Hill Police Department,mars hill,NC,City
NC0690200,Oriental Police Department,oriental,NC,City
NC0780800,Rowland Police Department,rowland,NC,City
NC0780500,Fairmont Police Department,fairmont,NC,City
NC0780600,Parkton Police Department,parkton,NC,City
NC0780700,Pembroke Police Department,pembroke,NC,City
NC0780100,Lumberton Police Department,lumberton,NC,City
NC0780300,Red Springs Police Department,red springs,NC,City
NC0780400,St. Pauls Police Department,st. pauls,NC,City
NC0820300,Newton Grove Police Department,newton grove,NC,City
NC0820100,Clinton Police Department,clinton,NC,City
NC0950100,Boone Police Department,boone,NC,City
NC0010200,Elon Police Department,elon,NC,City
NC0010500,Haw River Police Department,haw river,NC,City
NC0010300,Graham Police Department,graham,NC,City
NC0070300,Belhaven Police Department,belhaven,NC,City
NC0070400,Chocowinity Police Department,chocowinity,NC,City
NC0070100,Washington Police Department,washington,NC,City
NC0110200,Black Mountain Police Department,black mountain,NC,City
NC0110300,Biltmore Forest Police Department,biltmore forest,NC,City
NC0110400,Weaverville Police Department,weaverville,NC,City
NC0110500,Montreat Police Department,montreat,NC,City
NC0110600,Woodfin Police Department,woodfin,NC,City
NC0110100,Asheville Police Department,asheville,NC,City
NC0130100,Concord Police Department,concord,NC,City
NC0140200,Lenoir Police Department,lenoir,NC,City
NC0140100,Granite Falls Police Department,granite falls,NC,City
NC0140400,Hudson Police Department,hudson,NC,City
NC0160700,Pine Knoll Shores Police Department,pine knoll shores,NC,City
NC0160900,Indian Beach Police Department,indian beach,NC,City
NC0160400,Newport Police Department,newport,NC,City
NC0160300,Atlantic Beach Police Department,atlantic beach,NC,City
NC0160500,Cape Carteret Police Department,cape carteret,NC,City
NC0160600,Emerald Isle Police Department,emerald isle,NC,City
NC0160200,Morehead City Police Department,morehead city,NC,City
NC0160100,Beaufort Police Department,beaufort,NC,City
NC0200100,Andrews Police Department,andrews,NC,City
NC0200200,Murphy Police Department,murphy,NC,City
NC0240300,Fair Bluff Police Department,fair bluff,NC,City
NC0240400,Tabor City Police Department,tabor city,NC,City
NC0240500,Whiteville Police Department,whiteville,NC,City
NC0240600,Lake Waccamaw Police Department,lake waccamaw,NC,City
NC0240200,Chadbourn Police Department,chadbourn,NC,City
NC0290100,Lexington Police Department,lexington,NC,City
NC0290300,Denton Police Department,denton,NC,City
NC0350200,Franklinton Police Department,franklinton,NC,City
NC0350100,Louisburg Police Department,louisburg,NC,City
NC0350300,Youngsville Police Department,youngsville,NC,City
NC0350400,Bunn Police Department,bunn,NC,City
NC035069P,Lake Royale Police Department,lake royale,NC,City
NC0410200,Greensboro Police Department,greensboro,NC,City
NC0460200,Murfreesboro Police Department,murfreesboro,NC,City
NC0460100,Ahoskie Police Department,ahoskie,NC,City
NC0460300,Winton Police Department,winton,NC,City
NC0510800,Selma Police Department,selma,NC,City
NC0510700,Princeton Police Department,princeton,NC,City
NC0510600,Pine Level Police Department,pine level,NC,City
NC0511400,Wilson's Mills Police Department,wilson's mills,NC,City
NC0510400,Four Oaks Police Department,four oaks,NC,City
NC0510300,Clayton Police Department,clayton,NC,City
NC0510200,Benson Police Department,benson,NC,City
NC0510100,Smithfield Police Department,smithfield,NC,City
NC0560200,Old Fort Police Department,old fort,NC,City
NC0560100,Marion Police Department,marion,NC,City
NC0610100,Spruce Pine Police Department,spruce pine,NC,City
NC0610200,Bakersville Police Department,bakersville,NC,City
NC0760100,Asheboro Police Department,asheboro,NC,City
NC0760300,Liberty Police Department,liberty,NC,City
NC0760400,Ramseur Police Department,ramseur,NC,City
NC0760500,Randleman Police Department,randleman,NC,City
NC0760700,Seagrove Police Department,seagrove,NC,City
NC0770300,Rockingham Police Department,rockingham,NC,City
NC0770200,Hamlet Police Department,hamlet,NC,City
NC0830300,Wagram Police Department,wagram,NC,City
NC0830100,Laurinburg Police Department,laurinburg,NC,City
NC0020100,Taylorsville Police Department,taylorsville,NC,City
NC0030100,Sparta Police Department,sparta,NC,City
NC0100200,Shallotte Police Department,shallotte,NC,City
NC0100300,Southport Police Department,southport,NC,City
NC0100400,Holden Beach Police Department,holden beach,NC,City
NC0100500,Boiling Spring Lakes Police Department,boiling spring lakes,NC,City
NC0100700,Sunset Beach Police Department,sunset beach,NC,City
NC0100800,Ocean Isle Beach Police Department,ocean isle beach,NC,City
NC0101000,Caswell Beach Police Department,caswell beach,NC,City
NC0101100,Bald Head Island Police Department,bald head island,NC,City
NC0101300,Leland Police Department,leland,NC,City
NC0101400,Navassa Police Department,navassa,NC,City
NC0101600,Northwest Police Department,northwest,NC,City
NC0100100,Oak Island Police Department,oak island,NC,City
NC0230200,Shelby Police Department,shelby,NC,City
NC0230300,Boiling Springs Police Department,boiling springs,NC,City
NC0330200,Tarboro Police Department,tarboro,NC,City
NC0330400,Pinetops Police Department,pinetops,NC,City
NC0390100,Oxford Police Department,oxford,NC,City
NC0390200,Butner Police Department,butner,NC,City
NC0390300,Creedmoor Police Department,creedmoor,NC,City
NC0450200,Laurel Park Police Department,laurel park,NC,City
NC0450100,Hendersonville Police Department,hendersonville,NC,City
NC0450300,Fletcher Police Department,fletcher,NC,City
NC0260100,Fayetteville Police Department,fayetteville,NC,City
NC0260200,Hope Mills Police Department,hope mills,NC,City
NC0260300,Spring Lake Police Department,spring lake,NC,City
NC0260500,Stedman Police Department,stedman,NC,City
NC0620300,Candor Police Department,candor,NC,City
NC0620400,Mount Gilead Police Department,mount gilead,NC,City
NC0620500,Star Police Department,star,NC,City
NC0620200,Biscoe Police Department,biscoe,NC,City
NC0620100,Troy Police Department,troy,NC,City
NC0720200,Winfall Police Department,winfall,NC,City
NC0790100,Eden Police Department,eden,NC,City
NC0790300,Madison Police Department,madison,NC,City
NC0790500,Reidsville Police Department,reidsville,NC,City
NC0790400,Mayodan Police Department,mayodan,NC,City
NC0790700,Stoneville Police Department,stoneville,NC,City
NC0810400,Lake Lure Police Department,lake lure,NC,City
NC0810300,Spindale Police Department,spindale,NC,City
NC0810200,Rutherfordton Police Department,rutherfordton,NC,City
NC0810100,Forest City Police Department,forest city,NC,City
NC0940100,Plymouth Police Department,plymouth,NC,City
NC0602900,Mint Hill Police Department,mint hill,NC,City
NC0600100,Charlotte-Mecklenburg Police Department,charlotte-mecklenburg,NC,City
NC0600300,Pineville Police Department,pineville,NC,City
NC0600400,Cornelius Police Department,cornelius,NC,City
NC0600600,Huntersville Police Department,huntersville,NC,City
NC0600700,Matthews Police Department,matthews,NC,City
NC0650300,Wrightsville Beach Police Department,wrightsville beach,NC,City
NC0650100,Carolina Beach Police Department,carolina beach,NC,City
NC0650200,Wilmington Police Department,wilmington,NC,City
NC0650400,Kure Beach Police Department,kure beach,NC,City
NC0660100,Rich Square Police Department,rich square,NC,City
NC0660300,Gaston Police Department,gaston,NC,City
NC0660200,Conway Police Department,conway,NC,City
NC0660800,Garysburg Police Department,garysburg,NC,City
NC0660600,Woodland Police Department,woodland,NC,City
NC0660400,Jackson Police Department,jackson,NC,City
NC0921300,Morrisville Police Department,morrisville,NC,City
NC0920100,Raleigh Police Department,raleigh,NC,City
NC0740600,Grifton Police Department,grifton,NC,City
NC0880100,Brevard Police Department,brevard,NC,City
NC0920200,Apex Police Department,apex,NC,City
NC0960400,Mount Olive Police Department,mount olive,NC,City
NC0430200,Angier Police Department,angier,NC,City
NC0860100,Elkin Police Department,elkin,NC,City
NC0950400,Seven Devils Police Department,seven devils,NC,City
NC0060500,Beech Mountain Police Department,beech mountain,NC,City
NC0180700,Long View Police Department,long view,NC,City
NC0680100,Chapel Hill Police Department,chapel hill,NC,City
NC0920700,Wake Forest Police Department,wake forest,NC,City
NC0570200,Highlands Police Department,highlands,NC,City
NC0710300,Surf City Police Department,surf city,NC,City
NC0140300,Rhodhiss Police Department,rhodhiss,NC,City
NC0130200,Kannapolis Police Department,kannapolis,NC,City
NC0640700,Whitakers Police Department,whitakers,NC,City
NC0330100,Rocky Mount Police Department,rocky mount,NC,City
NC0850300,King Police Department,king,NC,City
NC0750200,Saluda Police Department,saluda,NC,City
NC0010400,Mebane Police Department,mebane,NC,City
NC0840500,Locust Police Department,locust,NC,City
NC0180300,Maiden Police Department,maiden,NC,City
NC0510500,Kenly Police Department,kenly,NC,City
NC0950200,Blowing Rock Police Department,blowing rock,NC,City
NC0230100,Kings Mountain Police Department,kings mountain,NC,City
NC0340100,Kernersville Police Department,kernersville,NC,City
NC0780200,Maxton Police Department,maxton,NC,City
NC0410100,Gibsonville Police Department,gibsonville,NC,City
NC0010100,Burlington Police Department,burlington,NC,City
NC0700100,Elizabeth City Police Department,elizabeth city,NC,City
NC0290200,Thomasville Police Department,thomasville,NC,City
NC0760600,Archdale Police Department,archdale,NC,City
NC0900500,Stallings Police Department,stallings,NC,City
NC0320100,Durham Police Department,durham,NC,City
NC0600500,Davidson Police Department,davidson,NC,City
NC0920300,Cary Police Department,cary,NC,City
NC0640600,Sharpsburg Police Department,sharpsburg,NC,City
NC0180200,Hickory Police Department,hickory,NC,City
NC0410300,High Point Police Department,high point,NC,City
ND0090200,Fargo Police Department,fargo,ND,City
ND0090300,West Fargo Police Department,west fargo,ND,City
ND0130200,Killdeer Police Department,killdeer,ND,City
ND0510500,Surrey Police Department,surrey,ND,City
ND0510600,Berthold Police Department,berthold,ND,City
ND0510300,Burlington Police Department,burlington,ND,City
ND0510200,Minot Police Department,minot,ND,City
ND0510100,Kenmare Police Department,kenmare,ND,City
ND0070500,Powers Lake Police Department,powers lake,ND,City
ND0240300,Napoleon Police Department,napoleon,ND,City
ND0450100,Dickinson Police Department,dickinson,ND,City
ND0500100,Grafton Police Department,grafton,ND,City
ND0520100,Harvey Police Department,harvey,ND,City
ND0020100,Valley City Police Department,valley city,ND,City
ND0060100,Bowman Police Department,bowman,ND,City
ND0110100,Ellendale Police Department,ellendale,ND,City
ND0110200,Oakes Police Department,oakes,ND,City
ND0160100,Carrington Police Department,carrington,ND,City
ND0220300,Steele Police Department,steele,ND,City
ND0280100,Garrison Police Department,garrison,ND,City
ND0290200,Hazen Police Department,hazen,ND,City
ND0290100,Beulah Police Department,beulah,ND,City
ND0300200,Mandan Police Department,mandan,ND,City
ND0350100,Rugby Police Department,rugby,ND,City
ND0360100,Devils Lake Police Department,devils lake,ND,City
ND0370200,Lisbon Police Department,lisbon,ND,City
ND0230300,Lamoure Police Department,lamoure,ND,City
ND0340300,Drayton Police Department,drayton,ND,City
ND0340100,Cavalier Police Department,cavalier,ND,City
ND0400100,Dunseith Police Department,dunseith,ND,City
ND0400200,Rolla Police Department,rolla,ND,City
ND0400400,Rolette Police Department,rolette,ND,City
ND0040100,Medora Police Department,medora,ND,City
ND0080300,Lincoln Police Department,lincoln,ND,City
ND0080100,Bismarck Police Department,bismarck,ND,City
ND0260200,Wishek Police Department,wishek,ND,City
ND0270100,Watford City Police Department,watford city,ND,City
ND0390300,Wahpeton Police Department,wahpeton,ND,City
ND0470100,Jamestown Police Department,jamestown,ND,City
ND0530100,Tioga Police Department,tioga,ND,City
ND0530200,Williston Police Department,williston,ND,City
ND0530400,Ray Police Department,ray,ND,City
ND0310100,New Town Police Department,new town,ND,City
ND0310300,Stanley Police Department,stanley,ND,City
ND0180100,Grand Forks Police Department,grand forks,ND,City
ND0180300,Northwood Police Department,northwood,ND,City
ND0180400,Emerado Police Department,emerado,ND,City
ND0180600,Thompson Police Department,thompson,ND,City
OH0220200,Huron Police Department,huron,OH,City
OH0220300,Sandusky Police Department,sandusky,OH,City
OH0220500,Bay View Police Department,bay view,OH,City
OH0220700,Kelleys Island Police Department,kelleys island,OH,City
OH0220600,Berlin Heights Police Department,berlin heights,OH,City
OH0221000,Perkins Township Police Department,perkins township,OH,City
OH0420400,Fredericktown Police Department,fredericktown,OH,City
OH0420300,Danville Police Department,danville,OH,City
OH0420100,Mount Vernon Police Department,mount vernon,OH,City
OH0431600,North Perry Police Department,north perry,OH,City
OH0430100,Eastlake Police Department,eastlake,OH,City
OH0430200,Fairport Harbor Police Department,fairport harbor,OH,City
OH0430400,Kirtland Hills Police Department,kirtland hills,OH,City
OH0430500,Madison Police Department,madison,OH,City
OH0430600,Mentor Police Department,mentor,OH,City
OH0430700,Mentor-on-the-Lake Police Department,mentor-on-the-lake,OH,City
OH0430800,Painesville Police Department,painesville,OH,City
OH0430900,Perry Police Department,perry,OH,City
OH0431000,Waite Hill Police Department,waite hill,OH,City
OH0431100,Wickliffe Police Department,wickliffe,OH,City
OH0431200,Willoughby Police Department,willoughby,OH,City
OH0431300,Willoughby Hills Police Department,willoughby hills,OH,City
OH0431400,Willowick Police Department,willowick,OH,City
OH0431700,Timberlake Police Department,timberlake,OH,City
OH0431800,"Madison Township Police Department, Lake County","madison township police department, lake county",OH,City
OH0432200,Kirtland Police Department,kirtland,OH,City
OH0660600,Piketon Police Department,piketon,OH,City
OH0660100,Waverly Police Department,waverly,OH,City
OH0710100,Chillicothe Police Department,chillicothe,OH,City
OH0870300,Perrysburg Police Department,perrysburg,OH,City
OH0870600,Bloomdale Police Department,bloomdale,OH,City
OH0870700,Bradner Police Department,bradner,OH,City
OH0871200,Haskins Police Department,haskins,OH,City
OH0871500,Luckey Police Department,luckey,OH,City
OH0871800,Northwood Police Department,northwood,OH,City
OH0871900,Pemberville Police Department,pemberville,OH,City
OH0872100,Risingsun Police Department,risingsun,OH,City
OH0872300,Walbridge Police Department,walbridge,OH,City
OH0872400,Wayne Police Department,wayne,OH,City
OH0872800,Perrysburg Township Police Department,perrysburg township,OH,City
OH0873000,Lake Township Police Department,lake township,OH,City
OH0870100,Bowling Green Police Department,bowling green,OH,City
OH0870200,North Baltimore Police Department,north baltimore,OH,City
OH0870400,Rossford Police Department,rossford,OH,City
OH0010300,West Union Police Department,west union,OH,City
OH0010200,Peebles Police Department,peebles,OH,City
OH0010600,Seaman Police Department,seaman,OH,City
OH0010100,Manchester Police Department,manchester,OH,City
OH0010700,Winchester Police Department,winchester,OH,City
OH0021100,Shawnee Township Police Department,shawnee township,OH,City
OH0020700,Elida Police Department,elida,OH,City
OH0020400,Lima Police Department,lima,OH,City
OH0021300,American Township Police Department,american township,OH,City
OH0021400,"Perry Township Police Department, Allen County","perry township police department, allen county",OH,City
OH0021600,Marion Township Police Department,marion township,OH,City
OH0020500,Spencerville Police Department,spencerville,OH,City
OH0080800,Russellville Police Department,russellville,OH,City
OH0080900,Sardinia Police Department,sardinia,OH,City
OH0080700,Mount Orab Police Department,mount orab,OH,City
OH0080100,Aberdeen Police Department,aberdeen,OH,City
OH0080200,Georgetown Police Department,georgetown,OH,City
OH0080300,Ripley Police Department,ripley,OH,City
OH0080600,Higginsport Police Department,higginsport,OH,City
OH0121100,South Vienna Police Department,south vienna,OH,City
OH0120200,Springfield Police Department,springfield,OH,City
OH0120500,Donnelsville Police Department,donnelsville,OH,City
OH0120600,Enon Police Department,enon,OH,City
OH0120800,North Hampton Police Department,north hampton,OH,City
OH0120900,South Charleston Police Department,south charleston,OH,City
OH0121000,Tremont City Police Department,tremont city,OH,City
OH0121300,"German Township Police Department, Clark County","german township police department, clark county",OH,City
OH0191800,Union City Police Department,union city,OH,City
OH0191100,New Madison Police Department,new madison,OH,City
OH0190100,Greenville Police Department,greenville,OH,City
OH0190200,Ansonia Police Department,ansonia,OH,City
OH0190300,Arcanum Police Department,arcanum,OH,City
OH0350100,Napoleon Police Department,napoleon,OH,City
OH0350200,Deshler Police Department,deshler,OH,City
OH0390300,Willard Police Department,willard,OH,City
OH0390200,Norwalk Police Department,norwalk,OH,City
OH0390100,New London Police Department,new london,OH,City
OH0391000,Wakeman Police Department,wakeman,OH,City
OH0390700,Monroeville Police Department,monroeville,OH,City
OH0390500,Greenwich Police Department,greenwich,OH,City
OH0460400,De Graff Police Department,de graff,OH,City
OH0460100,Bellefontaine Police Department,bellefontaine,OH,City
OH0460200,Russells Point Police Department,russells point,OH,City
OH0461000,West Liberty Police Department,west liberty,OH,City
OH0461300,"Washington Township Police Department, Logan County","washington township police department, logan county",OH,City
OH0481000,Holland Police Department,holland,OH,City
OH0481100,Waterville Police Department,waterville,OH,City
OH0481200,Whitehouse Police Department,whitehouse,OH,City
OH0481500,"Washington Township Police Department, Lucas County","washington township police department, lucas county",OH,City
OH0481800,Waterville Township Police Department,waterville township,OH,City
OH0480500,Sylvania Police Department,sylvania,OH,City
OH0480600,Sylvania Township Police Department,sylvania township,OH,City
OH0480700,Toledo Police Department,toledo,OH,City
OH0480800,Berkey Police Department,berkey,OH,City
OH0480100,Maumee Police Department,maumee,OH,City
OH0480200,Oregon Police Department,oregon,OH,City
OH0480300,Ottawa Hills Police Department,ottawa hills,OH,City
OH0530500,Syracuse Police Department,syracuse,OH,City
OH0530300,Racine Police Department,racine,OH,City
OH0530200,Pomeroy Police Department,pomeroy,OH,City
OH0530400,Rutland Police Department,rutland,OH,City
OH0530100,Middleport Police Department,middleport,OH,City
OH0550200,Piqua Police Department,piqua,OH,City
OH0550300,Tipp City Police Department,tipp city,OH,City
OH0550400,Troy Police Department,troy,OH,City
OH0550600,Covington Police Department,covington,OH,City
OH0551200,West Milton Police Department,west milton,OH,City
OH0641200,Thornville Police Department,thornville,OH,City
OH0640100,Crooksville Police Department,crooksville,OH,City
OH0640300,New Straitsville Police Department,new straitsville,OH,City
OH0640200,New Lexington Police Department,new lexington,OH,City
OH0640400,Corning Police Department,corning,OH,City
OH0640700,Junction City Police Department,junction city,OH,City
OH0641000,Shawnee Police Department,shawnee,OH,City
OH0641100,Somerset Police Department,somerset,OH,City
OH0760400,Canton Police Department,canton,OH,City
OH0760200,Brewster Police Department,brewster,OH,City
